itemString,itemName,stackSize,quantity,price,otherPlayer,player,time,source
i:168303,Rubbery Flank,100,100,311000,Danasio,Nuzia,1571530764,Auction
i:152505,Riverbud,200,200,50000,Shievena,Nuzia,1571583890,Auction
i:152506,Star Moss,200,200,50000,Shievena,Nuzia,1571583896,Auction
i:152508,Winter's Kiss,200,400,47707,Munding,Nuzia,1571583904,Auction
i:152510,Anchor Weed,20,40,706000,Corotinnho,Nuzia,1571583919,Auction
i:152510,Anchor Weed,10,20,706000,Corotinnho,Nuzia,1571583922,Auction
i:152510,Anchor Weed,35,70,709000,Wamy,Nuzia,1571583926,Auction
i:168487,Zin'anthid,200,600,151899,Zyaah,Nuzia,1571583943,Auction
i:168487,Zin'anthid,200,1000,151900,Spaceforce,Nuzia,1571583949,Auction
i:153636,Crimson Pigment,6,6,140997,Qianye,Nuzia,1571584556,Auction
i:152508,Winter's Kiss,200,3200,47707,Munding,Nuzia,1571584749,Auction
i:168652,Greater Flask of Endless Fathoms,1,5,3649999,Tatikafka,Nuzia,1571585570,Auction
i:168303,Rubbery Flank,20,80,247499,Darksuh,Nuzia,1571670160,Auction
i:168303,Rubbery Flank,67,67,249999,Thundercley,Nuzia,1571670165,Auction
i:168303,Rubbery Flank,28,28,250000,Druidianno,Nuzia,1571670167,Auction
i:168303,Rubbery Flank,10,30,306000,Epicsaxguy,Nuzia,1571670169,Auction
i:168303,Rubbery Flank,20,20,306999,Annisha,Nuzia,1571670171,Auction
i:168303,Rubbery Flank,75,75,307000,Vemtrankuilo,Nuzia,1571670172,Auction
i:168303,Rubbery Flank,41,41,308000,Highmax,Nuzia,1571670175,Auction
i:152547,Great Sea Catfish,50,300,84000,Thramorg,Nuzia,1571670204,Auction
i:152631,Briny Flesh,71,71,9400,Krevi,Nuzia,1571670225,Auction
i:152631,Briny Flesh,3,3,9500,Sytadi,Nuzia,1571670227,Auction
i:152631,Briny Flesh,5,5,9600,Lothralius,Nuzia,1571670229,Auction
i:154898,Meaty Haunch,35,35,18200,Sytadi,Nuzia,1571670240,Auction
i:154898,Meaty Haunch,21,21,18400,Lothralius,Nuzia,1571670243,Auction
i:168646,Mauve Stinger,63,63,129000,Thramorg,Nuzia,1571670253,Auction
i:168646,Mauve Stinger,36,36,129500,Magmä,Nuzia,1571670255,Auction
i:168646,Mauve Stinger,2,52,130000,Yandelara,Nuzia,1571670643,Auction
i:9461::1:4017,?,1,1,4586,Merchant,Nullzia,1571676882,Vendor
i:168487,Zin'anthid,200,400,100299,Seuterro,Nuzia,1571760452,Auction
i:168487,Zin'anthid,200,1000,115700,Spaceforce,Nuzia,1571760465,Auction
i:152509,Siren's Pollen,200,200,49999,Abumine,Nuzia,1571760482,Auction
i:152509,Siren's Pollen,50,150,50400,Niëtzsche,Nuzia,1571760486,Auction
i:152509,Siren's Pollen,64,64,49999,Abumine,Nuzia,1571760492,Auction
i:152509,Siren's Pollen,34,34,50000,Zuul,Nuzia,1571760500,Auction
i:152505,Riverbud,200,200,42000,Kynthara,Nuzia,1571760507,Auction
i:152505,Riverbud,200,400,42199,Abumine,Nuzia,1571760509,Auction
i:152505,Riverbud,200,200,42538,Fyki,Nuzia,1571760514,Auction
i:152507,Akunda's Bite,88,88,81000,Rjkz,Nuzia,1571763768,Auction
